;pergunta;resposta
0;Quem é o criador de Dragon Ball Z?;"Akira Toriyama"
1;Quando foi lançado o mangá de Dragon Ball?;"1984"
2;Em que ano foi transmitido o anime Dragon Ball Z?;"1989-1996"
3;Qual é a principal temática de Dragon Ball Z?;"Lutas épicas, crescimento dos personagens e a busca pelas Esferas do Dragão"
4;Quais são os principais vilões em Dragon Ball Z?;"Freeza, Cell e Majin Buu"
5;O que é o Super Saiyajin?;"Uma transformação dos Saiyajins que aumenta significativamente sua força, velocidade e poder de luta"
6;Quando Goku se torna pela primeira vez Super Saiyajin?;"Durante sua luta contra Freeza no planeta Namekusei"
7;Qual é a primeira transformação de Vegeta para Super Saiyajin?;"Vegeta se transforma em Super Saiyajin pela primeira vez durante a luta contra o Android 19"
8;Quais são as diferenças entre Super Saiyajin e Super Saiyajin 2?;"O Super Saiyajin 2 é uma forma mais poderosa, com mais energia e raios envolvendo o corpo, mostrando maior controle e aumento de poder"
9;Quem é o primeiro vilão a ser derrotado por Goku após se tornar Super Saiyajin?;"Freeza"
10;Qual é a transformação mais poderosa de Goku em Dragon Ball Z?;"Super Saiyajin 3"
11;Quem é o personagem principal de Dragon Ball Z?;"Goku"
12;Qual é o nome do melhor amigo de Goku em Dragon Ball Z?;"Kuririn"
13;Qual é o nome do mestre de Goku?;"Mestre Kame"
14;Quem é o pai de Goku?;"Bardock"
15;Qual é o nome da esposa de Goku?;"Chi-Chi"
16;Qual é o nome da forma inicial de Goku como Super Saiyajin?;"Super Saiyajin 1 ou Super Saiyajin fase 1"
17;Quem foi o primeiro vilão de Dragon Ball Z?;"Raditz, que também é o seu irmão"
18;Quem é o criador das Androides 17 e 18?;"Dr. Gero"
19;Qual é o nome da técnica de Goku que envolve concentrar energia nas mãos?;"Kamehameha"
20;Qual é a diferença entre o Super Saiyajin 3 e o Super Saiyajin 4?;"O Super Saiyajin 4 é visto em Dragon Ball GT e é uma transformação muito mais poderosa. Sua diferença, além do cabelo ser mais curto e preto, há pelos vermelhos em seu corpo e também uma cauda da mesma cor"
21;Qual é a relação entre Goku e Vegeta?;"Eles são rivais e aliados, sendo ambos Saiyajins"
22;O que é a Genki Dama?;"Uma técnica onde Goku coleta energia dos seres vivos para lançar uma enorme bola de energia"
23;Quantas Esferas do Dragão existem?; 7
24;Onde acontece a batalha contra o Cell?;"No futuro pós-apocalíptico e também nos Jogos de Cell"
25;Quem vence o torneio de artes marciais em Dragon Ball Z?;"Goku vence a edição do torneio, mas depois é superado por outros eventos"
26;Como Goku derrota Freeza?;"Goku derrota Freeza durante uma batalha épica no planeta Namekusei"
27;O que são as esferas do dragão?;"Sete esferas mágicas que, quando reunidas, invocam um dragão que realiza desejos"
28;Quem são os filhos de Goku e Chi-Chi?;"Gohan e Goten"
29;Qual é o primeiro personagem que se torna Super Saiyajin 2?;"Gohan"
30;Qual é a técnica especial de Goku que envolve o teletransporte?;"Técnica do Teletransporte Instantâneo"
